Activity Id,Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
20bc4d89-7bb4-437d-b7fb-b0fe1996bff1,2023-07-27 08:14:47,Running,,6.58,38:06,5:47,10.37,560.0,100,,"","",2023-07-27-081447.gpx
72ce7de1-7c79-4918-97c5-5c6374dd1b5e,2023-07-26 11:15:58,Walking,,1.66,13:19,8:00,7.50,131.0,16,,"","",2023-07-26-111558.gpx
f7ff3fb4-6a60-43dc-8b79-ec47f25d5938,2023-07-26 10:44:37,Running,,5.05,27:37,5:28,10.97,436.0,97,,"","",2023-07-26-104437.gpx
96cdd4f5-3189-401f-ae8b-d5f14aa3860f,2023-07-25 11:07:00,Walking,,1.67,12:45,7:38,7.87,135.0,16,,"","",2023-07-25-110700.gpx
8eca925d-e879-47a5-9bd8-f66eb5b029c8,2023-07-25 10:35:08,Running,,4.99,26:54,5:23,11.14,429.0,89,,"","",2023-07-25-103508.gpx
9531e3e2-75e8-444c-9778-c65e8e61801e,2023-07-23 09:31:27,Running,,6.00,35:54,5:59,10.03,548.0,224,,"","",2023-07-23-093127.gpx
cf3fc041-16fc-4c37-a217-b024174abac6,2023-07-22 09:38:26,Running,,3.67,23:16,6:21,9.45,348.0,177,,"","",2023-07-22-093826.gpx
98c71930-69cc-4961-a1be-c95ea81d1bab,2023-07-21 15:57:04,Running,,3.45,22:25,6:30,9.24,321.0,159,,"","",2023-07-21-155704.gpx
ad491de1-80a9-44b9-a06e-dba68fd61777,2023-07-20 12:15:11,Walking,,1.93,17:57,9:17,6.46,140.0,17,,"","",2023-07-20-121511.gpx
0ef5c13c-8293-46ef-bc53-9271b68dfba4,2023-07-20 08:14:05,Running,,9.00,52:51,5:52,10.22,781.0,182,,"","",2023-07-20-081405.gpx
c49e4298-8319-4390-92ca-ec44e710c424,2023-07-19 12:02:57,Running,,3.96,23:42,5:59,10.04,340.0,73,,"","",2023-07-19-120257.gpx
313dfd24-7046-482a-af42-5179f5099546,2023-07-19 11:15:01,Walking,,1.96,15:24,7:52,7.62,156.0,18,,"","",2023-07-19-111501.gpx
ba11af2d-c834-431d-9743-e17e7c070459,2023-07-18 14:47:20,Walking,,1.72,14:29,8:25,7.12,138.0,17,,"","",2023-07-18-144720.gpx
6069f6af-2d77-42ec-bcad-0a4516321979,2023-07-18 08:11:35,Running,,7.93,43:25,5:28,10.96,666.0,112,,"","",2023-07-18-081135.gpx
d577cd4e-0ca1-418b-a132-915f752db547,2023-07-17 15:30:55,Walking,,2.04,17:16,8:28,7.08,165.0,19,,"","",2023-07-17-153055.gpx
7b0431ef-4d9e-4a52-8435-b7f411df6465,2023-07-16 07:55:13,Running,,13.81,1:24:38,6:08,9.79,1211.0,410,,"","",2023-07-16-075513.gpx
d6523009-9257-43e2-bb67-f1dabfe9b879,2023-07-15 09:24:45,Running,,5.12,24:18,4:45,12.64,442.0,102,,"","",2023-07-15-092445.gpx
